genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Arhgef26	0.66	TTR or breakage	3	[('IZ', 1)]
Sec24d	0.38	TTR or breakage	3	[]
Ect2	0.2	TTR or breakage	2	[('IZ', 1)]
Lrrc40	0.19	TTR or breakage	2	[]
Egf	0.25	TTR or breakage	3	[]
Trim33	0.17	TTR or breakage	3	[]
Cth	0.15	TTR or breakage	1	[('IZ', 1)]
Arhgap29	0.32	TTR or breakage	1	[('termination', 1)]
Abca4	0.3	termination	2	[('TTR or breakage', 2)]
Larp1b	0.31	IZ	3	[]
Gclm	0.21	TTR or breakage	2	[]
Shox2	0.46	IZ	1	[]
Adgrl2	0.73	other	3	[('IZ', 1)]
Mrpl47	0.19	TTR or breakage	1	[]
4932438A13Rik	0.49	other	4	[('TTR or breakage', 1)]
Ccnl1	0.39	other	1	[('TTR or breakage', 1)]
Nras	0.13	TTR or breakage	1	[]
Aimp1	0.47	TTR or breakage	1	[]
Dclk1	0.61	TTR or breakage	7	[]
Zranb2	0.5	TTR or breakage	1	[]
Snx16	0.17	TTR or breakage	1	[]
Chil5	0.4	TTR or breakage	1	[]
Ppp3ca	0.63	TTR or breakage	4	[('IZ', 1), ('other', 1)]
Mfsd1	0.35	TTR or breakage	2	[]
Med12l	0.59	TTR or breakage	7	[]
Prpf38b	0.26	TTR or breakage	1	[]
Dennd2d	0.6	TTR or breakage	2	[]
Rap2b	0.8	IZ	1	[]
Nbea	0.82	TTR or breakage	6	[('termination', 3), ('other', 2), ('IZ', 1)]
Egfem1	0.8	TTR or breakage	11	[('termination', 2)]
Acad9	0.29	TTR or breakage	1	[]
Rrnad1	0.12	IZ	1	[]
Lrriq4	0.18	TTR or breakage	2	[]
Mlf1	0.33	TTR or breakage	2	[]
Col25a1	0.62	TTR or breakage	8	[('termination', 2)]
Phactr4	0.1	TTR or breakage	1	[('other', 1)]
Mllt3	0.42	TTR or breakage	6	[]
Atp6v0b	0.15	other	1	[]
Uts2	0.21	TTR or breakage	2	[]
Casp8ap2	0.24	TTR or breakage	1	[('CTR', 1)]
Usp48	0.1	IZ	3	[]
Nsmaf	0.45	TTR or breakage	2	[('IZ', 1)]
Rraga	0.23	TTR or breakage	1	[]
Ift74	0.2	IZ	1	[('TTR or breakage', 1)]
Hp1bp3	0.23	TTR or breakage	1	[]
Fhl5	0.61	other	2	[]
Orc3	0.23	TTR or breakage	2	[]
Yipf1	0.18	TTR or breakage	2	[]
Dnajc11	0.12	TTR or breakage	2	[]
Pgm1	0.27	TTR or breakage	2	[]
B4galt1	0.14	TTR or breakage	1	[('other', 1)]
Csf3r	0.13	TTR or breakage	1	[]
Caap1	0.19	TTR or breakage	1	[('IZ', 1)]
Slc46a2	0.23	TTR or breakage	1	[]
Dnai4	0.3	TTR or breakage	2	[('IZ', 1)]
Fbxo42	0.09	CTR	3	[]
Hacd4	0.49	TTR or breakage	2	[]
Eya3	0.11	other	3	[]
Elavl4	0.54	TTR or breakage	4	[]
Slc35a1	0.18	TTR or breakage	1	[]
Cdk11b	0.1	TTR or breakage	1	[]
Inip	0.17	TTR or breakage	2	[]
Necab1	0.37	TTR or breakage	3	[('other', 1)]
Unc13b	0.21	other	4	[('termination', 1)]
Kif1b	0.11	CTR	2	[('IZ', 1), ('TTR or breakage', 1)]
Chd7	0.39	other	3	[('TTR or breakage', 2)]
Ptgr1	0.17	IZ	1	[]
Epb41l4b	0.12	CTR	4	[]
Frmd3	0.39	TTR or breakage	5	[]
Lyn	0.22	TTR or breakage	2	[('IZ', 2)]
Trrap	0.15	IZ	3	[]
Poln	0.23	termination	2	[('TTR or breakage', 2)]
Flt3	0.23	other	2	[('IZ', 1)]
Clrn2	0.31	IZ	1	[]
Tmem33	0.21	TTR or breakage	1	[]
Sbno1	0.1	other	2	[]
Vps33a	0.14	other	2	[]
Pds5b	0.19	TTR or breakage	4	[]
1700028K03Rik	0.28	TTR or breakage	2	[]
Pds5a	0.13	other	2	[]
Kmt2e	0.16	TTR or breakage	3	[]
Nrbp1	0.15	other	2	[]
Hfm1	0.41	TTR or breakage	3	[]
Cplx1	0.16	IZ	2	[]
Evi5	0.16	TTR or breakage	4	[]
Fry	0.22	other	4	[('TTR or breakage', 4)]
Odam	0.75	IZ	1	[]
Dbf4	0.25	TTR or breakage	1	[('IZ', 1)]
Yes1	0.14	TTR or breakage	2	[]
Crot	0.28	other	1	[]
Ccng2	0.31	TTR or breakage	1	[]
Srp72	0.22	other	1	[]
Rundc3b	0.27	TTR or breakage	3	[('IZ', 1)]
Plb1	0.26	TTR or breakage	3	[('other', 1)]
Gtf3a	0.17	IZ	2	[]
Mrpl1	0.39	IZ	1	[('TTR or breakage', 1)]
Zp3	0.1	IZ	1	[]
Baiap2l1	0.19	TTR or breakage	3	[]
Prom1	0.31	TTR or breakage	4	[]
Kmt2c	0.17	TTR or breakage	3	[('other', 2)]
Atp8a1	0.4	TTR or breakage	5	[]
Lias	0.12	IZ	2	[]
Ift172	0.16	other	1	[]
Psmc2	0.2	IZ	1	[('TTR or breakage', 1)]
