genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Kpna1	0.13	IZ	2	[]
Mir99ahg	0.85	TTR or breakage	7	[('termination', 3)]
Zbtb20	0.51	TTR or breakage	13	[('termination', 2), ('IZ', 1)]
Alcam	0.82	TTR or breakage	6	[]
Robo1	0.61	TTR or breakage	12	[('IZ', 3)]
Filip1l	0.37	TTR or breakage	5	[]
Ydjc	0.1	IZ	2	[]
Bbx	0.45	TTR or breakage	5	[('other', 1)]
Hspbap1	0.14	other	1	[('IZ', 1)]
Tbc1d5	0.51	TTR or breakage	8	[('other', 2)]
Wdr27	0.18	TTR or breakage	3	[]
Tapbp	0.11	IZ	1	[]
Wdr90	0.1	TTR or breakage	1	[('CTR', 1)]
Cramp1	0.14	other	2	[]
Tcp1	0.13	IZ	1	[]
Lpin2	0.26	termination	2	[]
Stk38	0.09	other	1	[('IZ', 1)]
Yipf4	0.13	other	2	[]
Fam120b	0.22	TTR or breakage	2	[]
Gm11110	0.18	TTR or breakage	2	[]
Lrpprc	0.24	other	2	[]
Map3k4	0.24	IZ	2	[('TTR or breakage', 1)]
Akap8l	0.11	IZ	1	[('TTR or breakage', 1)]
Crem	0.26	TTR or breakage	2	[]
Pde6a	0.19	other	2	[]
4930471G03Rik	0.18	termination	1	[]
Pcdhb21	0.37	TTR or breakage	1	[]
Spink5	0.69	TTR or breakage	2	[]
Ccdc68	0.49	TTR or breakage	2	[]
Mtpap	0.32	IZ	1	[]
Hdhd2	0.21	TTR or breakage	2	[]
Me2	0.32	TTR or breakage	2	[]
Pcdhgb6	0.16	TTR or breakage	2	[('IZ', 1)]
1700034E13Rik	0.74	TTR or breakage	1	[('other', 1)]
Wdr33	0.16	TTR or breakage	2	[('IZ', 1)]
Ccbe1	0.39	TTR or breakage	7	[]
Ankhd1	0.13	CTR	3	[]
Etf1	0.13	other	1	[]
Mpp7	0.4	TTR or breakage	6	[('IZ', 1)]
Dpysl3	0.8	TTR or breakage	3	[]
Atg12	0.17	CTR	1	[]
Cep192	0.16	TTR or breakage	2	[]
Cd226	0.67	TTR or breakage	3	[]
Cpeb3	0.14	CTR	5	[]
Il33	0.25	TTR or breakage	2	[]
Pcx	0.18	termination	2	[('TTR or breakage', 1)]
Hells	0.22	TTR or breakage	2	[]
Smarca2	0.74	IZ	2	[('TTR or breakage', 1), ('other', 1)]
Cyp26a1	0.25	termination	2	[]
Zfp91	0.31	TTR or breakage	1	[]
Nolc1	0.11	IZ	1	[]
Mrpl49	0.11	other	1	[]
Tcf7l2	0.31	TTR or breakage	4	[('IZ', 1)]
Abcc2	0.16	other	2	[]
Glis3	0.28	other	5	[('TTR or breakage', 2), ('IZ', 2)]
Stx3	0.24	TTR or breakage	2	[]
Acsl5	0.31	IZ	1	[]
Pcgf6	0.11	IZ	2	[]
Slc3a2	0.11	TTR or breakage	1	[]
Prune2	0.42	TTR or breakage	6	[]
Ms4a7	0.48	TTR or breakage	1	[]
Papss2	0.27	other	2	[('TTR or breakage', 1)]
Stambpl1	0.64	IZ	2	[]
Vti1a	0.33	TTR or breakage	7	[]
Rbm20	0.2	TTR or breakage	4	[('CTR', 1)]
Patl1	0.17	IZ	1	[]
