genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Hdhd2	0.29	other	2	[]
Me2	0.28	IZ	2	[]
Pcdhgb6	0.42	TTR or breakage	3	[]
1700034E13Rik	0.49	TTR or breakage	2	[]
Wdr33	0.28	CTR	3	[]
Ccbe1	0.34	TTR or breakage	7	[]
Ankhd1	0.21	IZ	2	[('TTR or breakage', 1)]
Etf1	0.17	CTR	1	[]
Mpp7	0.65	TTR or breakage	5	[('termination', 2)]
Dpysl3	0.38	other	2	[('IZ', 1)]
Atg12	0.32	TTR or breakage	1	[]
Cep192	0.25	TTR or breakage	2	[]
Cd226	0.74	TTR or breakage	3	[]
Cpeb3	0.24	other	3	[('CTR', 2)]
Il33	0.28	CTR	2	[]
Pcx	0.19	other	2	[('TTR or breakage', 1)]
Hells	0.4	TTR or breakage	2	[]
Smarca2	0.33	TTR or breakage	3	[('IZ', 1)]
Cyp26a1	0.25	CTR	2	[]
Zfp91	0.68	TTR or breakage	1	[]
Nolc1	0.15	CTR	1	[]
Mrpl49	0.14	CTR	1	[]
Tcf7l2	0.21	TTR or breakage	2	[('other', 2), ('IZ', 1)]
Abcc2	0.22	CTR	2	[]
Glis3	0.24	other	7	[('IZ', 1), ('TTR or breakage', 1)]
Stx3	0.52	TTR or breakage	2	[]
Acsl5	0.23	IZ	1	[]
Pcgf6	0.17	other	2	[]
Slc3a2	0.18	TTR or breakage	1	[]
Prune2	0.58	CTR	6	[]
Ms4a7	0.5	TTR or breakage	1	[]
Papss2	0.3	TTR or breakage	3	[]
Stambpl1	0.69	other	2	[]
Vti1a	0.23	TTR or breakage	4	[('other', 3)]
Rbm20	0.19	CTR	3	[('TTR or breakage', 2)]
Patl1	0.47	IZ	1	[]
