genename	rnapol2
Slc15a1	no
Smarcad1	yes
Snx16	no
Tbl1x	no
Tcf7l2	yes
Tmem260	yes
Tomm70a	yes
Ttc23	no
Tusc3	no
Unc13c	no
Vps13b	yes
Xrn2	yes
Bbx	yes
Col25a1	no
Cramp1	yes
Egfem1	no
Gnas	yes
Lyn	no
Me2	yes
Nckap1l	no
Onecut1	no
Slc5a8	no
Syne2	no
Uqcrq	yes
A330008L17Rik	no
Apbb1ip	yes
Hormad2	no
Ppp3cb	yes
Serpine2	no
Tenm1	no
Tmem87b	yes
Vwa8	no
Zcwpw1	no
Cth	no
Hdgfl3	no
Igf1	no
M1ap	no
Pcdhb21	yes
Pde4d	yes
Bbs9	yes
Col1a1	no
Commd5	yes
Exoc2	yes
Fam169b	yes
Heph	no
Inpp5e	no
Itm2a	no
Mlf1	no
Pcbp2	yes
Pcdhgb6	yes
Smyd2	yes
Spata7	no
Stambpl1	yes
Supt20	yes
Abca13	no
Adgrg6	no
Arhgap29	yes
Bdp1	yes
Cacna2d3	no
Camk2g	yes
Carf	yes
Col4a5	no
Cops2	yes
D930020B18Rik	no
Dhx9	yes
Eef1d	yes
Erbb3	no
Fam120b	no
Idh3a	yes
Itfg1	yes
Ms4a7	no
Mtpap	no
Npas3	no
Psmc2	yes
Ptprz1	no
Sacm1l	yes
Serpina11	no
Slc5a1	no
Syne1	yes
Tmem45a2	no
Trim6	no
Txndc16	yes
Vps50	no
Zfc3h1	yes
Erbin	no
Fbxl2	yes
Gca	no
Il1b	no
Knl1	yes
Lrriq3	yes
Mir7116	yes
Myo16	no
Rasal2	no
Scaper	yes
Trip12	yes
Ubxn4	yes
Dpysl3	no
Dusp6	yes
Eif3k	yes
Mboat1	yes
Odam	no
Prl7a1	no
Trio	no
Abcc2	no
Acsl5	yes
Adgrg2	no
Akr1b10	no
Armc3	no
Baiap2l1	yes
C4bp-ps1	yes
Cdk11b	yes
Chordc1	yes
Cltc	yes
Dsp	no
Gc	no
Gtf3a	yes
Ift172	yes
Insyn2a	no
Kmt2e	yes
Lama2	no
Lrrc36	no
Map2k5	yes
Nek10	no
Ntn1	yes
Pcf11	yes
Pcm1	yes
Pcolce2	no
Phactr4	yes
Pibf1	yes
Pign	no
Polr3b	yes
Prune2	no
Ptpn12	no
Rap2b	yes
Smarca1	no
Smgc	no
Tcaf3	no
Thyn1	no
Adam22	no
Adamdec1	no
Aifm2	no
Atg12	yes
Cc2d2a	no
Ccbe1	no
Cep192	yes
Entpd6	yes
Ercc5	yes
Fam81a	no
Grik1	no
Herpud2	yes
Hexb	yes
Hp1bp3	yes
Ift74	yes
Ints2	yes
Mindy3	yes
Mmp3	no
Numb	yes
Orc3	yes
Pcnt	yes
Prpf38b	yes
Rims1	no
Sag	yes
Sema4d	yes
Slc33a1	yes
Stam2	yes
Stard9	yes
Usp6nl	yes
Yes1	yes
Zbtb20	yes
Zfp91	yes
1700034E13Rik	no
4930471G03Rik	yes
Cdk5rap1	yes
Col19a1	no
Cops3	yes
Cpa4	no
Dennd5b	no
Dnaaf6	no
Fig4	yes
Gm5464	yes
Lgr4	no
Lmo7	no
Macrod2	yes
Map2k1	yes
Mrc1	no
Mrpl49	yes
Nras	yes
Pcca	no
Pgap1	yes
Ripor2	yes
Rnf212b	no
Rnf213	yes
Tbxas1	no
Tln2	no
Uts2	yes
Xpr1	yes
Zfp939	no
Afg3l1	yes
Aimp1	yes
Akap8l	yes
Alcam	yes
Aplnr	no
Arhgap18	no
Atp1b4	no
Cfap221	no
Cmtm1	no
Col23a1	no
Col5a3	no
Crls1	yes
Dclre1c	yes
Dnai4	yes
Eif5	yes
Fbxo42	yes
G6pc2	no
Lrp1b	no
Mbd5	yes
Mmp27	no
Narf	yes
Pde7a	yes
Pds5b	yes
Pgm1	yes
Pir	no
Ppp4r3b	yes
Prrg1	yes
Rbm20	no
Rraga	yes
Sfi1	no
Tcp1	yes
Tmc2	no
Trpm7	yes
Vps41	yes
2310030A07Rik	no
4932438A13Rik	yes
Adam3	no
Baz1b	yes
Bcor	no
Catspere2	no
Cd69	no
Cenpl	yes
Cep290	yes
Clock	no
Ddx19b	yes
Epb41l2	yes
Evi5	no
Gria1	no
Itgb1	yes
Kdm6a	yes
Pcdh15	no
Pkd1l2	no
Plb1	no
Podxl	no
Rab3gap1	yes
Rasgrf2	no
Rel	no
Serinc3	yes
Tmem186	yes
Trmt1l	yes
Ttc21b	yes
Unc13b	no
Wdr92	yes
Zdhhc17	yes
Zp3	no
